,item,seen,picked,pick_rate
0,"CardInfo(effects=(None, CardEffectInfo(type='Absorb', target='self', value=2), None), element='fire', legality='legal', viewType='standard')",60,1,0.016666666666666666
1,"CardInfo(effects=(None, CardEffectInfo(type='MultiplyNextAttack', target='self', value=None), None), element='fire', legality='legal', viewType='standard')",54,5,0.09259259259259259
2,"CardInfo(effects=(None, None, CardEffectInfo(type='Explode', target='opponent', value=3)), element='fire', legality='legal', viewType='standard')",64,6,0.09375
3,"CardInfo(effects=(CardEffectInfo(type='Damage', target='opponent', value=3), None, CardEffectInfo(type='Damage', target='self', value=1)), element='fire', legality='legal', viewType='standard')",64,49,0.765625
4,"CardInfo(effects=(None, None, CardEffectInfo(type='Purge', target='opponent', value=1)), element='none', legality='legal', viewType='standard')",1,0,0.0
5,"CardInfo(effects=(CardEffectInfo(type='Blaze', target='self', value=1), None, None), element='fire', legality='legal', viewType='standard')",58,30,0.5172413793103449
6,"CardInfo(effects=(CardEffectInfo(type='Rain', target='self', value=2), None, None), element='water', legality='legal', viewType='standard')",13,10,0.7692307692307693
7,"CardInfo(effects=(CardEffectInfo(type='Damage', target='opponent', value=2), None, None), element='none', legality='legal', viewType='standard')",36,29,0.8055555555555556
8,"CardInfo(effects=(None, CardEffectInfo(type='Draw', target='self', value=None), None), element='water', legality='legal', viewType='standard')",8,0,0.0
9,"CardInfo(effects=(CardEffectInfo(type='Damage', target='opponent', value=3), CardEffectInfo(type='Discard', target='self', value=3), None), element='fire', legality='legal', viewType='standard')",58,35,0.603448275862069
10,"CardInfo(effects=(CardEffectInfo(type='Purge', target='opponent', value=1), None, None), element='none', legality='legal', viewType='standard')",27,6,0.2222222222222222
11,"CardInfo(effects=(CardEffectInfo(type='ElementUp', target='self', value=None), None, None), element='fire', legality='legal', viewType='standard')",50,8,0.16
12,"CardInfo(effects=(CardEffectInfo(type='Free', target=None, value=None), CardEffectInfo(type='Block', target='self', value=1), None), element='jazz', legality='legal', viewType='standard')",11,1,0.09090909090909091
13,"CardInfo(effects=(None, CardEffectInfo(type='Improvise', target='self', value=None), None), element='jazz', legality='legal', viewType='standard')",12,1,0.08333333333333333
14,"CardInfo(effects=(None, CardEffectInfo(type='Cool', target='self', value=2), None), element='jazz', legality='legal', viewType='standard')",17,0,0.0
15,"CardInfo(effects=(None, None, CardEffectInfo(type='Quickdraw', target='self', value=2)), element='fire', legality='legal', viewType='standard')",5,0,0.0
16,"CardInfo(effects=(None, CardEffectInfo(type='Damage', target='opponent', value=3), CardEffectInfo(type='Damage', target='self', value=1)), element='fire', legality='legal', viewType='standard')",2,1,0.5
17,"CardInfo(effects=(None, CardEffectInfo(type='Grow', target='self', value=1), None), element='umami', legality='legal', viewType='standard')",20,1,0.05
18,"CardInfo(effects=(CardEffectInfo(type='Mold', target='opponent', value=2), None, None), element='umami', legality='legal', viewType='standard')",16,3,0.1875
19,"CardInfo(effects=(CardEffectInfo(type='Absorb', target='self', value=2), None, None), element='umami', legality='legal', viewType='standard')",23,8,0.34782608695652173
20,"CardInfo(effects=(None, CardEffectInfo(type='ElementUp', target='self', value=None), None), element='water', legality='legal', viewType='standard')",1,0,0.0
21,"CardInfo(effects=(CardEffectInfo(type='ChargeShot', target='self', value=2), None, None), element='water', legality='legal', viewType='standard')",7,1,0.14285714285714285
22,"CardInfo(effects=(CardEffectInfo(type='Free', target=None, value=None), CardEffectInfo(type='Heal', target='self', value=1), None), element='water', legality='legal', viewType='standard')",12,0,0.0
23,"CardInfo(effects=(CardEffectInfo(type='Heal', target='self', value=2), None, None), element='none', legality='legal', viewType='standard')",21,3,0.14285714285714285
24,"CardInfo(effects=(CardEffectInfo(type='Tempo', target='self', value=None), CardEffectInfo(type='Heal', target='self', value=1), None), element='fire', legality='legal', viewType='standard')",1,0,0.0
25,"CardInfo(effects=(None, CardEffectInfo(type='Free', target=None, value=None), None), element='none', legality='legal', viewType='standard')",31,7,0.22580645161290322
26,"CardInfo(effects=(CardEffectInfo(type='Block', target='self', value=2), None, None), element='none', legality='legal', viewType='standard')",25,6,0.24
27,"CardInfo(effects=(CardEffectInfo(type='ElementUp', target='self', value=None), None, None), element='jazz', legality='legal', viewType='standard')",7,0,0.0
28,"CardInfo(effects=(None, CardEffectInfo(type='Rightmost', target='self', value=2), CardEffectInfo(type='Damage', target='opponent', value=1)), element='fire', legality='legal', viewType='standard')",61,35,0.5737704918032787
29,"CardInfo(effects=(CardEffectInfo(type='Damage', target='opponent', value=1), CardEffectInfo(type='BlockBonus', target='self', value=None), None), element='water', legality='legal', viewType='standard')",11,9,0.8181818181818182
30,"CardInfo(effects=(CardEffectInfo(type='Damage', target='opponent', value=1), CardEffectInfo(type='MissingHpBonus', target='self', value=1), None), element='fire', legality='legal', viewType='standard')",26,16,0.6153846153846154
31,"CardInfo(effects=(None, CardEffectInfo(type='Chain', target='self', value=None), CardEffectInfo(type='Damage', target='opponent', value=1)), element='fire', legality='legal', viewType='standard')",26,13,0.5
32,"CardInfo(effects=(None, CardEffectInfo(type='PlayNextTwice', target='self', value=None), None), element='none', legality='legal', viewType='standard')",5,0,0.0
33,"CardInfo(effects=(CardEffectInfo(type='Cleanse', target='self', value=1), None, None), element='none', legality='legal', viewType='standard')",26,6,0.23076923076923078
34,"CardInfo(effects=(None, CardEffectInfo(type='Leech', target='opponent', value=2), None), element='umami', legality='legal', viewType='standard')",20,4,0.2
35,"CardInfo(effects=(None, CardEffectInfo(type='GiveHeavyRecoil', target='opponent', value=2), CardEffectInfo(type='Power', target='opponent', value=None)), element='umami', legality='legal', viewType='standard')",8,6,0.75
