,item,seen,picked,pick_rate
0,FireShield,22,12,0.5454545454545454
1,Wood,4,3,0.75
2,TreasureScale,20,7,0.35
3,GoFish,16,2,0.125
4,BattleFormation,23,13,0.5652173913043478
5,FusionJuice,24,5,0.20833333333333334
6,Horns,17,17,1.0
7,Tape,19,4,0.21052631578947367
8,Flameheart,17,12,0.7058823529411765
9,HandMirror,17,15,0.8823529411764706
10,PackageDealer,21,6,0.2857142857142857
11,Multivitamin,21,9,0.42857142857142855
12,CNote,15,7,0.4666666666666667
13,Monocle,20,11,0.55
14,PowerStone,16,15,0.9375
15,HugeClouds,19,1,0.05263157894736842
16,LongHair,2,2,1.0
17,Bacon,12,4,0.3333333333333333
18,TBone,23,19,0.8260869565217391
19,PhoenixFeather,18,17,0.9444444444444444
20,CoolSword,14,12,0.8571428571428571
21,OvenMits,5,4,0.8
22,Microphone,12,7,0.5833333333333334
23,Watermelon,17,11,0.6470588235294118
24,Icicles,10,4,0.4
25,StackingStone,18,12,0.6666666666666666
26,PerishPendant,21,0,0.0
27,Turtle,18,6,0.3333333333333333
28,FalseMustache,18,7,0.3888888888888889
29,Coconut,13,1,0.07692307692307693
30,Adrenaline,2,0,0.0
31,Shades,3,2,0.6666666666666666
32,Kicks,5,4,0.8
33,Guitar,2,2,1.0
34,Goldstrike,1,0,0.0
35,InfernoCloak,1,0,0.0
