,item,seen,picked,pick_rate
0,"{""effects"": [null, {""type"": ""Rightmost"", ""target"": ""self"", ""value"": 2}, {""type"": ""Damage"", ""target"": ""opponent"", ""value"": 1}], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",53,28,0.5283018867924528
1,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 3}, null, {""type"": ""Damage"", ""target"": ""self"", ""value"": 1}], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",59,41,0.6949152542372882
2,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 3}, {""type"": ""Discard"", ""target"": ""self"", ""value"": 3}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",77,60,0.7792207792207793
3,"{""effects"": [{""type"": ""Heal"", ""target"": ""self"", ""value"": 2}, null, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",39,16,0.41025641025641024
4,"{""effects"": [null, {""type"": ""Absorb"", ""target"": ""self"", ""value"": 2}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",56,5,0.08928571428571429
5,"{""effects"": [null, {""type"": ""Respect"", ""target"": ""self"", ""value"": 2}, null], ""element"": ""jazz"", ""legality"": ""legal"", ""viewType"": ""standard""}",22,5,0.22727272727272727
6,"{""effects"": [null, {""type"": ""BoostAdjacent"", ""target"": ""self"", ""value"": 1}, null], ""element"": ""jazz"", ""legality"": ""legal"", ""viewType"": ""standard""}",13,0,0.0
7,"{""effects"": [{""type"": ""Purge"", ""target"": ""opponent"", ""value"": 1}, null, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",40,2,0.05
8,"{""effects"": [{""type"": ""Blaze"", ""target"": ""self"", ""value"": 1}, null, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",65,7,0.1076923076923077
9,"{""effects"": [{""type"": ""HalveHP"", ""target"": ""self"", ""value"": null}, {""type"": ""PowerMax"", ""target"": ""self"", ""value"": null}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",1,0,0.0
10,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 2}, null, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",35,29,0.8285714285714286
11,"{""effects"": [null, {""type"": ""Leech"", ""target"": ""opponent"", ""value"": 2}, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",35,22,0.6285714285714286
12,"{""effects"": [{""type"": ""GainMushroom"", ""target"": ""self"", ""value"": 2}, null, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",36,16,0.4444444444444444
13,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 0}, {""type"": ""Ferment"", ""target"": null, ""value"": null}, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",28,6,0.21428571428571427
14,"{""effects"": [{""type"": ""ElementUp"", ""target"": ""self"", ""value"": null}, null, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",76,18,0.23684210526315788
15,"{""effects"": [{""type"": ""Heal"", ""target"": ""self"", ""value"": 1}, {""type"": ""Tempo"", ""target"": ""self"", ""value"": null}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",7,0,0.0
16,"{""effects"": [null, {""type"": ""Free"", ""target"": null, ""value"": null}, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",30,2,0.06666666666666667
17,"{""effects"": [{""type"": ""ChargeShot"", ""target"": ""self"", ""value"": 2}, null, null], ""element"": ""water"", ""legality"": ""legal"", ""viewType"": ""standard""}",17,3,0.17647058823529413
18,"{""effects"": [{""type"": ""Free"", ""target"": null, ""value"": null}, {""type"": ""Heal"", ""target"": ""self"", ""value"": 1}, null], ""element"": ""water"", ""legality"": ""legal"", ""viewType"": ""standard""}",17,12,0.7058823529411765
19,"{""effects"": [{""type"": ""Absorb"", ""target"": ""self"", ""value"": 2}, null, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",6,0,0.0
20,"{""effects"": [{""type"": ""Absorb"", ""target"": ""self"", ""value"": 2}, null, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",37,7,0.1891891891891892
21,"{""effects"": [null, null, {""type"": ""Explode"", ""target"": ""opponent"", ""value"": 3}], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",66,0,0.0
22,"{""effects"": [{""type"": ""Block"", ""target"": ""self"", ""value"": 2}, null, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",39,10,0.2564102564102564
23,"{""effects"": [{""type"": ""Rightmost"", ""target"": ""self"", ""value"": 2}, null, {""type"": ""Damage"", ""target"": ""opponent"", ""value"": 1}], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",5,4,0.8
24,"{""effects"": [null, {""type"": ""Flood"", ""target"": ""self"", ""value"": 1}, null], ""element"": ""water"", ""legality"": ""legal"", ""viewType"": ""standard""}",22,2,0.09090909090909091
25,"{""effects"": [{""type"": ""Cleanse"", ""target"": ""self"", ""value"": 1}, null, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",39,5,0.1282051282051282
26,"{""effects"": [null, {""type"": ""MultiplyNextAttack"", ""target"": ""self"", ""value"": null}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",69,23,0.3333333333333333
27,"{""effects"": [{""type"": ""Discard"", ""target"": ""self"", ""value"": 3}, {""type"": ""Damage"", ""target"": ""opponent"", ""value"": 3}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",6,4,0.6666666666666666
28,"{""effects"": [null, {""type"": ""Reflect"", ""target"": ""self"", ""value"": 2}, null], ""element"": ""water"", ""legality"": ""legal"", ""viewType"": ""standard""}",10,3,0.3
29,"{""effects"": [null, {""type"": ""Chain"", ""target"": ""self"", ""value"": null}, {""type"": ""Damage"", ""target"": ""opponent"", ""value"": 1}], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",60,47,0.7833333333333333
30,"{""effects"": [null, {""type"": ""Phoenix"", ""target"": ""self"", ""value"": 1}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",64,0,0.0
31,"{""effects"": [null, null, {""type"": ""GainMoney"", ""target"": ""self"", ""value"": 10}], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",27,0,0.0
32,"{""effects"": [null, {""type"": ""Burn"", ""target"": ""opponent"", ""value"": 2}, null], ""element"": ""jazz"", ""legality"": ""legal"", ""viewType"": ""standard""}",12,8,0.6666666666666666
33,"{""effects"": [{""type"": ""ElementUp"", ""target"": ""self"", ""value"": null}, null, null], ""element"": ""water"", ""legality"": ""legal"", ""viewType"": ""standard""}",16,7,0.4375
34,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 1}, {""type"": ""MissingHpBonus"", ""target"": ""self"", ""value"": 1}, null], ""element"": ""fire"", ""legality"": ""legal"", ""viewType"": ""standard""}",66,65,0.9848484848484849
35,"{""effects"": [null, {""type"": ""PlayNextTwice"", ""target"": ""self"", ""value"": null}, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",16,0,0.0
36,"{""effects"": [null, {""type"": ""Eat"", ""target"": ""self"", ""value"": null}, {""type"": ""Fish"", ""target"": ""self"", ""value"": null}], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",37,5,0.13513513513513514
37,"{""effects"": [null, {""type"": ""PreventNextDamage"", ""target"": ""self"", ""value"": null}, {""type"": ""Power"", ""target"": ""opponent"", ""value"": null}], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",44,27,0.6136363636363636
38,"{""effects"": [null, {""type"": ""Paralyze"", ""target"": ""opponent"", ""value"": null}, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",35,7,0.2
39,"{""effects"": [null, {""type"": ""Cool"", ""target"": ""self"", ""value"": 2}, null], ""element"": ""jazz"", ""legality"": ""legal"", ""viewType"": ""standard""}",18,11,0.6111111111111112
40,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 1}, {""type"": ""CardsPlayedBonus"", ""target"": ""self"", ""value"": 1}, null], ""element"": ""jazz"", ""legality"": ""legal"", ""viewType"": ""standard""}",3,3,1.0
41,"{""effects"": [null, {""type"": ""Improvise"", ""target"": ""self"", ""value"": null}, null], ""element"": ""jazz"", ""legality"": ""legal"", ""viewType"": ""standard""}",16,5,0.3125
42,"{""effects"": [{""type"": ""Heal"", ""target"": ""self"", ""value"": 3}, null, {""type"": ""Heal"", ""target"": ""opponent"", ""value"": 2}], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",32,22,0.6875
43,"{""effects"": [{""type"": ""Mold"", ""target"": ""opponent"", ""value"": 2}, null, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",38,3,0.07894736842105263
44,"{""effects"": [null, {""type"": ""Grow"", ""target"": ""self"", ""value"": 1}, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",36,4,0.1111111111111111
45,"{""effects"": [null, {""type"": ""GiveHeavyRecoil"", ""target"": ""opponent"", ""value"": 2}, {""type"": ""Power"", ""target"": ""opponent"", ""value"": null}], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",29,4,0.13793103448275862
46,"{""effects"": [null, {""type"": ""Power"", ""target"": ""self"", ""value"": null}, null], ""element"": ""none"", ""legality"": ""legal"", ""viewType"": ""standard""}",5,4,0.8
47,"{""effects"": [{""type"": ""ElementUp"", ""target"": ""self"", ""value"": null}, null, null], ""element"": ""jazz"", ""legality"": ""legal"", ""viewType"": ""standard""}",17,7,0.4117647058823529
48,"{""effects"": [{""type"": ""Damage"", ""target"": ""opponent"", ""value"": 1}, {""type"": ""CardInDiscardBonus"", ""target"": ""self"", ""value"": 1}, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",22,7,0.3181818181818182
49,"{""effects"": [{""type"": ""Grow"", ""target"": ""self"", ""value"": 1}, {""type"": ""Replica"", ""target"": ""self"", ""value"": null}, null], ""element"": ""umami"", ""legality"": ""legal"", ""viewType"": ""standard""}",1,0,0.0
